beer_id,brewery_id,beer_name,beer_style,beer_abv
3,2,Cactus Queen IPA,American IPA,
4,2,Wildcatter's Crude Stout,American Stout,
5,3,Amber,Vienna Lager,4.5
6,3,Turbodog,English Brown Ale,5.6
7,3,Purple Haze,Fruit / Vegetable Beer,4.2
8,3,Wheat,American Adjunct Lager,4.2
9,3,Golden,American Pale Lager,4.2
10,4,Allagash Dubbel Ale,Dubbel,7.0
11,5,Bert Grant's Scottish Ale,Scottish Ale,4.7
12,5,Bert Grant's Imperial Stout,Russian Imperial Stout,6.0
13,5,Bert Grant's IPA,English India Pale Ale (IPA),4.2
14,6,Witkap Pater Singel / Stimulo,Belgian Pale Ale,6.0
15,69,Wild Goose Snow Goose Winter Ale,Winter Warmer,6.3
16,8,Hop Jack Pale Ale,American Pale Ale (APA),
17,8,Widmer Hefeweizen,American Pale Wheat Ale,4.9
18,8,Sommerbräu,Kölsch,4.8
19,9,Mackeson Triple XXX Stout,Milk / Sweet Stout,4.9
20,10,Old Izaak,Extra Special / Strong Bitter (ESB),5.0
21,18,Deep Shaft Stout,Foreign / Export Stout,6.2
23,20,Wachusett IPA (India Pale Ale),American IPA,5.6
24,20,Wachusett Black Shack Porter,American Porter,
26,20,Wachusett Octoberfest Ale,American Amber / Red Ale,5.2
27,20,Quinn's Amber Ale,Irish Red Ale,
28,20,Wachusett Winter Fest Ale,Winter Warmer,
29,21,Peter's Brand Pilsner Beer,German Pilsener,5.0
30,22,Trois Pistoles,Belgian Strong Dark Ale,9.0
31,22,Blanche De Chambly,Witbier,5.0
32,22,Eau Benite,Tripel,7.7
33,22,Maudite,Belgian Strong Dark Ale,8.0
34,22,La Fin Du Monde,Tripel,9.0
35,23,Twisted Pine Amber Ale,American Amber / Red Ale,5.3
36,24,Traquair House Ale,Scotch Ale / Wee Heavy,7.2
37,25,Cobnut Nut Brown Ale,English Brown Ale,
38,26,Burnham Pilsner,German Pilsener,4.2
39,26,Alpha King Pale Ale,American Pale Ale (APA),6.0
40,26,Three Floyds Extra Pale Ale,American Pale Ale (APA),5.25
