Item Number,Category Name,Item Description,Vendor,Vendor Name,Bottle Volume (ml),Pack,Inner Pack,Age,Proof,List Date,UPC,SCC,State Bottle Cost,State Case Cost,State Bottle Retail,Report Date
100015,WHISKEY LIQUEUR,FIREBALL CINNAMON WHISKEY BAG IN BOX,421,SAZERAC COMPANY  INC,3500,3,1,0,66,10/01/2017,88004022723,10083664874139,30.00,90.00,45.00,01/01/2026
100026,TEMPORARY & SPECIALTY PACKAGES,ABSOLUT W/FEVER TREE GINGER BEER,370,PERNOD RICARD USA,750,6,1,0,80,04/01/2024,835229000308,10083664874139,8.99,53.94,13.49,01/01/2026
10006,SCOTCH WHISKIES,SCORESBY RARE SCOTCH,421,SAZERAC COMPANY  INC,750,12,1,0,80,04/01/1990,88004038229,,6.25,75.00,9.38,01/01/2026
100040,TEMPORARY & SPECIALTY PACKAGES,GRAND MARNIER CORDON ROUGE W/2 SHOT GLASSES,619,CAMPARI AMERICA,750,6,1,0,80,06/01/2020,721059002622,,23.31,139.86,34.97,01/01/2026
10008,SCOTCH WHISKIES,SCORESBY RARE SCOTCH,421,SAZERAC COMPANY  INC,1750,6,1,0,80,05/01/1977,88004036225,,11.00,66.00,16.50,01/01/2026
10009,SCOTCH WHISKIES,SCORESBY RARE SCOTCH,421,SAZERAC COMPANY  INC,1000,12,1,0,80,05/01/1990,88076200999,,6.74,80.88,10.11,01/01/2026
100104,100% AGAVE TEQUILA,HERRADURA ULTRA ANEJO,085,BROWN FORMAN CORP.,750,6,1,0,80,02/01/2022,744607003728,,33.00,198.00,49.50,01/01/2026
100077,TEMPORARY & SPECIALTY PACKAGES,KRAKEN RUM W/TIKI GLASS,395,PROXIMO,750,6,1,0,94,10/01/2024,811538014588,,10.45,62.70,15.68,01/01/2026
100148,TENNESSEE WHISKIES,JACK DANIELS SINGLE BARREL W/SNIFTER GLASS,085,BROWN FORMAN CORP.,750,6,1,0,94,08/01/2025,82184203354,,28.50,171.00,42.75,01/01/2026
100194,TEMPORARY & SPECIALTY PACKAGES,ABSOLUT SEQUIN SLEEVE,370,PERNOD RICARD USA,750,12,1,0,80,10/01/2025,835229000308,10083664874139,8.99,107.88,13.49,01/01/2026
