item_number,item_description,category,category_name,vendor_name,bottle_volume_ml,state_bottle_cost,state_bottle_retail
65013,"FIREBALL CINNAMON WHISKEY MINI SLEEVE",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",50,4.30,6.45
21598,"TEN HIGH",1011200,"STRAIGHT BOURBON WHISKIES","SAZERAC COMPANY  INC",1750,9.24,13.86
16096,"EVAN WILLIAMS BOTTLED IN BOND",1011500,"BOTTLED IN BOND BOURBON","HEAVEN HILL BRANDS",750,10.00,15.00
36306,"HAWKEYE VODKA",1031100,"AMERICAN VODKAS","LUXCO INC",750,3.34,5.01
29994,"FIVE O'CLOCK GIN",1041100,"AMERICAN DRY GINS","LAIRD & COMPANY",375,1.99,2.99
21597,"TEN HIGH",1011200,"STRAIGHT BOURBON WHISKIES","SAZERAC COMPANY  INC",1000,4.94,7.41
48106,"HENNESSY VS",1052100,"IMPORTED BRANDIES","MOET HENNESSY USA",750,20.99,31.49
38178,"TITOS HANDMADE VODKA",1031100,"AMERICAN VODKAS","FIFTH GENERATION INC",1750,19.00,28.50
36965,"NEW AMSTERDAM 80PRF MINI",1031100,"AMERICAN VODKAS","E & J GALLO WINERY",50,5.54,8.31
30318,"GORDONS GIN LONDON DRY PET",1041100,"AMERICAN DRY GINS","DIAGEO AMERICAS",1750,11.00,16.50
26820,"JACK DANIELS OLD #7 BLACK LABEL FLAT",1011400,"TENNESSEE WHISKIES","BROWN FORMAN CORP.",375,7.50,11.25
84230,"99 BRAND MYSTERY FLAVOR PET MINI",1081300,"AMERICAN CORDIALS & LIQUEURS","SAZERAC COMPANY  INC",50,51.60,77.40
86455,"BLACK VELVET APPLE",1012100,"CANADIAN WHISKIES","HEAVEN HILL BRANDS",750,5.23,7.85
45248,"PARAMOUNT GOLD RUM",1062100,"GOLD RUM","LUXCO INC",1750,7.50,11.25
87510,"1800 SILVER",1022200,"100% AGAVE TEQUILA","PROXIMO",750,15.98,23.97
39555,"DEEP EDDY LEMON MINI",1031100,"AMERICAN VODKAS","HEAVEN HILL BRANDS",50,4.21,6.32
86916,"SOUTHERN COMFORT 100PRF",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",750,12.15,18.23
