Porter,716,842,2,25,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Porter,Irish Ale,McMenamins Mill Creek,13300 Bothell-Everett Highway #304,Mill Creek,Washington,United States,"47.8774,-122.211",
Possession Porter,723,445,2,25,5.5999999046,0,0,0,,,0,2010-07-22T13:00:00-07:00,Porter,Irish Ale,Diamond Knot Brewery & Alehouse,621 Front Street,Mukilteo,Washington,United States,"47.9485,-122.305",http://www.diamondknot.com/
Maibock,736,1124,7,90,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Traditional German-Style Bock,German Lager,Scuttlebutt Brewing,1524 West Marine View Drive,Everett,Washington,United States,"47.9975,-122.214",
Free Bike Amber,742,1151,3,33,4.5,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Amber/Red Ale,North American Ale,Skagit River Brewing,404 South Third Street,Mount Vernon,Washington,United States,"48.4192,-122.335",
Oatmeal Stout,961,691,3,42,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Stout,North American Ale,Independence Brew Pub,1150 Filbert Street,Philadelphia,Pennsylvania,United States,"39.9526,-75.1594",http://www.independencebrewpub.com/
Original Pils,2005,667,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Hofmark Brauerei,Hofmarkstrae 15,Cham,Bayern,Germany,"49.1672,12.6399",
Iris 1996,2390,202,5,70,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Belgian-Style Fruit Lambic,Belgian and French Ale,Brasserie-Brouwerij Cantillon,Gheudestraat 56,Anderlecht,Brussel,Belgium,"50.8416,4.3355",http://www.cantillon.be/
Old Elephant Foot IPA,2404,1234,3,31,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style India Pale Ale,North American Ale,Tampa Bay Brewing,1812 North 15th Street,Tampa,Florida,United States,"27.9607,-82.4433",
IPA,2408,387,3,31,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style India Pale Ale,North American Ale,Coach's Norman,102 West Main,Norman,Oklahoma,United States,"35.2205,-97.4439",
Pacific Pale,2423,1106,3,26,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Santa Barbara Brewing,501 State Street,Santa Barbara,California,United States,"34.4166,-119.696",
Black Chip Porter,2436,818,2,25,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Porter,Irish Ale,"Main Street Station Casino, Brewery and Hotel",200 North Main Street,Las Vegas,Nevada,United States,"36.1755,-115.145",
Hop Daddy IPA,2437,816,3,31,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style India Pale Ale,North American Ale,Main Street Brewery,300 North Main Street,Corona,California,United States,"33.8835,-117.565",
Plank Road Pale Ale,2590,830,3,26,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Marquette Harbor Brewery and Restaurant,119 South Front Street,Marquette,Michigan,United States,"46.5431,-87.3929",
Lodestone Lager,1009,700,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Iron Hill Brewery - Wilmingon,620 South Madison Street,Wilmington,Delaware,United States,"39.745,-75.5561",http://www.ironhillbrewery.com/
Bock,1026,521,7,90,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Traditional German-Style Bock,German Lager,Firehouse Brewery & Restaurant,,Red Oak,Iowa,United States,"41.0117,-95.2272",
Big Hoppy Monster,1148,1243,3,33,8.75,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Amber/Red Ale,North American Ale,Terrapin Beer Company,196 Alps Road,Athens,Georgia,United States,"33.9459,-83.4105",http://www.terrapinbeer.com/
