"id","url","cat","titre","prix","pays","region","sousregion","appellation","designation","classification","producteur","couleur","alcool","sucre","datetime"
"1","http://www.saq.com/page/fr/saqcom/absinthe/distilleries-et-domaines-de-provence-absente-55/568576","absinthe","Distilleries et Domaines de Provence Absente 55","50.75","France",,,,,,"Distilleries et domaines de Provence","Vert(e)","55 %",,"0000-00-00 00:00:00"
"2","http://www.saq.com/page/fr/saqcom/absinthe/emile-pernot-et-fils-absinthe-un-emile-68-blanche/12640427","absinthe","Emile Pernot et Fils Absinthe Un Émile 68° Blanche","61","France",,,,,,"Distillerie Emile Pernot","Blanche","68 %",,"0000-00-00 00:00:00"
"3","http://www.saq.com/page/fr/saqcom/absinthe/enigma-blanche/12641614","absinthe","Enigma Blanche","88","France",,,,,,"Liqueurs de france Limited","Blanc","74 %",,"0000-00-00 00:00:00"
"4","http://www.saq.com/page/fr/saqcom/absinthe/enigma-verte/12641593","absinthe","Enigma Verte","82","France",,,,,,"Liqueurs de france Limited","Vert(e)","72 %",,"0000-00-00 00:00:00"
"5","http://www.saq.com/page/fr/saqcom/absinthe/grande-absente/11111566","absinthe","Grande Absente","59.75","France",,,,,,"Distilleries & Domaines de Provence","Vert(e)","69 %",,"0000-00-00 00:00:00"
"6","http://www.saq.com/page/fr/saqcom/absinthe/hills-absinthe/587204","absinthe","Hill's Absinthe","65","République Tchèque",,,,,,"Hill's Liquere (North America) Inc.","Bleu(e)","70 %",,"0000-00-00 00:00:00"
"7","http://www.saq.com/page/fr/saqcom/absinthe/kubler/11157273","absinthe","Kübler","56.75","Suisse",,,,,,"Distillerie Blackmint","Vert(e)","53 %",,"0000-00-00 00:00:00"
"8","http://www.saq.com/page/fr/saqcom/absinthe/la-clandestine/11157214","absinthe","La Clandestine","99.25","Suisse",,,,,,"Distillerie Artemisia","Vert(e)","53 %",,"0000-00-00 00:00:00"
"9","http://www.saq.com/page/fr/saqcom/absinthe/larusee-bleue/12338527","absinthe","Larusée Bleue","99","Suisse",,,,,,"Larusée","Blanche","55 %",,"0000-00-00 00:00:00"
"10","http://www.saq.com/page/fr/saqcom/absinthe/larusee-verte/12338578","absinthe","Larusée Verte","120","Suisse",,,,,,"Larusée","Vert(e)","65 %",,"0000-00-00 00:00:00"
"11","http://www.saq.com/page/fr/saqcom/absinthe/les-fils-demile-pernot-absinthe-bourgeois/12250971","absinthe","Les fils d'Emile Pernot Absinthe Bourgeois","58","France",,,,,,"Distillerie Emile Pernot","Vert(e)","55 %",,"0000-00-00 00:00:00"
"12","http://www.saq.com/page/fr/saqcom/absinthe/libertine-absinthe/12107972","absinthe","Libertine Absinthe","96","Suisse",,,,,,"Die Grüne Fee",,"54 %",,"0000-00-00 00:00:00"
"13","http://www.saq.com/page/fr/saqcom/absinthe/lucid-absinthe/12345022","absinthe","Lucid Absinthe","65","France",,,,,,"Hood River Distillers Imports LLC","Vert(e)","62 %",,"0000-00-00 00:00:00"
"14","http://www.saq.com/page/fr/saqcom/absinthe/muse-de-france-coffret-le-coq-vert-avec-cuillere-a-absinthe/12345073","absinthe","Muse de France Coffret Le Coq Vert avec cuillère à absinthe","99","France",,,,,,"Muse de France","Vert(e)","65 %",,"0000-00-00 00:00:00"
"15","http://www.saq.com/page/fr/saqcom/absinthe/mythe-absinthe-69/10333538","absinthe","Mythe Absinthe 69","47.25","France",,,,,,"Élie-Arnaud Denoix","Vert(e)","69 %",,"0000-00-00 00:00:00"
"16","http://www.saq.com/page/fr/saqcom/absinthe/pernod/10447324","absinthe","Pernod","80","France",,,,,,"Pernod SA","Vert(e)","68 %",,"0000-00-00 00:00:00"
"17","http://www.saq.com/page/fr/saqcom/absinthe/taboo-genuine/11043882","absinthe","Taboo Genuine","58","Canada","Colombie-Britannique",,,,,"Okanagan Spirits","Vert(e)","60 %",,"0000-00-00 00:00:00"
"18","http://www.saq.com/page/fr/saqcom/absinthe/valkyria-absinthe-the-original-swedish/12345031","absinthe","Valkyria Absinthe The Original Swedish","80","Suède",,,,,,"Sankta Annas Bränneri AB","Vert(e)","68 %",,"0000-00-00 00:00:00"
"19","http://www.saq.com/page/fr/saqcom/absinthe/versinthe/598649","absinthe","Versinthe","38.25","France",,,,,,"Liquoristerie de Provence",,"45 %",,"0000-00-00 00:00:00"
"20","http://www.saq.com/page/fr/saqcom/absinthe/vieux-pontarlier-absinthe/11485091","absinthe","Vieux Pontarlier Absinthe","87","France",,,,,,"Distillerie Emile Pernot","Vert(e)","65 %",,"0000-00-00 00:00:00"
"29","http://www.saq.com/page/fr/saqcom/alcool-anise/floranis/11115196","alcool-anise","Floranis","35","France",,,,,,"S.V.S. La Martiniquaise",,"45 %",,"0000-00-00 00:00:00"
"30","http://www.saq.com/page/fr/saqcom/alcool-anise/marie-brizard/12442957","alcool-anise","Marie Brizard","24.4","France",,,,,,"Marie Brizard","Ambré(e)","25 %",,"0000-00-00 00:00:00"
"31","http://www.saq.com/page/fr/saqcom/alcool-anise/marie-brizard/27680","alcool-anise","Marie Brizard","23.5","France",,,,,,"Marie Brizard","Ambré(e)","25 %",,"0000-00-00 00:00:00"
"32","http://www.saq.com/page/fr/saqcom/alcool/doornkaat-schnapps/11728321","alcool","Doornkaat Schnapps","24.6","Allemagne",,,,,,"Berentzen Distillers",,"38 %",,"0000-00-00 00:00:00"
"33","http://www.saq.com/page/fr/saqcom/alcool/global-40-/12208765","alcool","Global 40 %","31","Canada","Québec",,,,,"Alcool Global",,"40 %",,"0000-00-00 00:00:00"
"34","http://www.saq.com/page/fr/saqcom/alcool/global-94-/12209012","alcool","Global 94 %","64.75","Canada","Québec",,,,,"Alcool Global",,"94 %",,"0000-00-00 00:00:00"
"35","http://www.saq.com/page/fr/saqcom/alcool/global-94-/90076","alcool","Global 94 %","24.75","Canada","Québec",,,,,"Alcool Global",,"94 %",,"0000-00-00 00:00:00"
"36","http://www.saq.com/page/fr/saqcom/alcool/gujinggong/12634730","alcool","Gujinggong","31","Chine",,,,,,"Gujinggong",,"50 %",,"0000-00-00 00:00:00"
"37","http://www.saq.com/page/fr/saqcom/alcool/kweichow-moutai-chiew/12448427","alcool","Kweichow Moutai Chiew","288","Chine",,,,,,"Guizhou Maotai Chiew I/E Co. Ltd","Blanche","53 %",,"0000-00-00 00:00:00"
"38","http://www.saq.com/page/fr/saqcom/alcool/kweichow-moutai-hanjiang-chiew/12629244","alcool","Kweichow Moutai Hanjiang Chiew","58","Chine",,,,,,"Guizhou Maotai Chiew I/E Co. Ltd",,"51 %",,"0000-00-00 00:00:00"
"39","http://www.saq.com/page/fr/saqcom/alcool/kweichow-moutai-jiabin-yingbin-chiew/12448401","alcool","Kweichow Moutai Jiabin Yingbin Chiew","75","Chine",,,,,,"Guizhou Maotai Chiew I/E Co. Ltd",,"53 %",,"0000-00-00 00:00:00"
"40","http://www.saq.com/page/fr/saqcom/alcool/moutai-yingbin-chiew/12102485","alcool","Moutai Yingbin Chiew","56","Chine",,,,,,"Guizhou Maotai Chiew I/E Co. Ltd","Blanche","43 %",,"0000-00-00 00:00:00"
"41","http://www.saq.com/page/fr/saqcom/alcool/schenley-40/11551756","alcool","Schenley 40%","28.2","Canada","Québec",,,,,"United Distillers Canada Inc.",,"40 %",,"0000-00-00 00:00:00"
"42","http://www.saq.com/page/fr/saqcom/alcool/wenjun-super/12102397","alcool","Wenjun Super","164","Chine",,,,,,"MHCS-Moet Hennessy Chain Supply",,"52 %",,"0000-00-00 00:00:00"
"45","http://www.saq.com/page/fr/saqcom/amontillado/sanchez-romate-old--plus-amontillado-xeres/11674895","amontillado","Sánchez Romate Old & Plus Amontillado Xérès","71","Espagne","Andalousie",,,"Denominación de origen (DO)",,"Sanchez Romate Hnos SA","Rouge","19 %","2.0 g/L","0000-00-00 00:00:00"
"46","http://www.saq.com/page/fr/saqcom/amontillado/tesoro-amontillado-medium-dry/32896","amontillado","Tesoro Amontillado Medium Dry","11.4","Espagne","Andalousie",,,"Denominación de origen (DO)",,"Marques del Real Tesoro SA","Blanc","20 %","38.0 g/L","0000-00-00 00:00:00"
"47","http://www.saq.com/page/fr/saqcom/aperitif-a-base-dartichaut/cynar/12332539","aperitif-a-base-dartichaut","Cynar","18.15","Italie",,,,,,"DCM SPA","Rouge","16,5 %",,"0000-00-00 00:00:00"
"48","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-gentiane/aperol/11639070","aperitif-a-base-de-gentiane","Aperol","22.8","Italie",,,,,,"Davide Campari","Orange","11 %",,"0000-00-00 00:00:00"
"49","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-gentiane/suze/471870","aperitif-a-base-de-gentiane","Suze","24.4","France",,,,,,"S.E.G.M.","Blanc","16 %",,"0000-00-00 00:00:00"
"50","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/bodegas-tradicion--amontilado-30-ans/12469869","aperitif-a-base-de-vin","Bodegas Tradicion  Amontilado 30 Ans","103","Espagne","Andalousie",,,,"Finos","Bodegas Tradicion","Brun(e)","19,5 %","4.1 g/L","0000-00-00 00:00:00"
"51","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/bodegas-tradicion-palo-cortado-30-ans/12470093","aperitif-a-base-de-vin","Bodegas Tradicion Palo Cortado 30 Ans","128","Espagne","Andalousie",,,,"Finos","Bodegas Tradicion","Brun(e)","19,5 %","4.4 g/L","0000-00-00 00:00:00"
"52","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/bodegas-tradicion-pedro-ximenez-20-ans/12469965","aperitif-a-base-de-vin","Bodegas Tradicion Pedro Ximenez 20 Ans","124","Espagne",,,,,,"Bodegas Tradicion","Brun(e)","15 %",">60 g/L","0000-00-00 00:00:00"
"53","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/bodegas-tradicion-xeres-fino-12-ans/12470181","aperitif-a-base-de-vin","Bodegas Tradicion Xeres Fino 12 Ans","57","Espagne",,,,,"Finos","Bodegas Tradicion","Ambré(e)","15 %","1.5 g/L","0000-00-00 00:00:00"
"54","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/byrrh-grand-quinquina/12389578","aperitif-a-base-de-vin","Byrrh Grand Quinquina","15.8","France",,,,,,"Cusenier Thuir","Rouge","18 %",,"0000-00-00 00:00:00"
"55","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/contratto/12619151","aperitif-a-base-de-vin","Contratto","38","Italie",,,,,,"Giuseppe Contratto srl","Rouge","17 %",,"0000-00-00 00:00:00"
"56","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/contratto/12619206","aperitif-a-base-de-vin","Contratto","38","Italie",,,,,,"Giuseppe Contratto srl","Jaune","17,5 %",,"0000-00-00 00:00:00"
"57","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/dubonnet-rouge/356","aperitif-a-base-de-vin","Dubonnet Rouge","12.25","France",,,,,,"S.E.G.M.","Rouge","14,8 %",">60 g/L","0000-00-00 00:00:00"
"58","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/lillet/10364406","aperitif-a-base-de-vin","Lillet","16.2","France",,,,,,"Lillet Frères","Rouge","17 %",">60 g/L","0000-00-00 00:00:00"
"59","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/lillet/953091","aperitif-a-base-de-vin","Lillet","16","France",,,,,,"Lillet Frères","Blanc","17 %",,"0000-00-00 00:00:00"
"60","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/lillet-rose/12212668","aperitif-a-base-de-vin","Lillet Rosé","15.8","France",,,,,,"Lillet Frères","Rosé","17 %",,"0000-00-00 00:00:00"
"61","http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-vin/sperone-cremovo/12971","aperitif-a-base-de-vin","Sperone Cremovo","11.85","Italie","Sicile",,,,,"Giacomo Sperone","Rouge","16 %",,"0000-00-00 00:00:00"
