id,name,type,country,abv
"Q131705680","Texels Overzee IPA","","Netherlands",""
"Q135016000","Snake Venom Beer","","Scotland",""
"Q135988488","Bia hơi","","Vietnam",""
"Q136470805","Cardeña","","",""
"Q137643824","Amarillo","","Netherlands",""
"Q137661604","Turf 'n Surf","","Netherlands",""
"Q632775","Don de Dieu","","",""
"Q977482","Cisk","","",""
"Q1252344","Armageddon","","",""
"Q1919778","Brand Dubbelbock","","Netherlands",""
"Q1959087","Hertog Jan Karakter","","",""
"Q2131449","Alfa Lente Bok","","Netherlands",""
"Q2371239","Venloosch Alt","","",""
"Q2419008","Silly Saison","","Belgium",""
"Q2538109","Victoria Bitter","","",""
"Q2720922","IJwit","","Netherlands",""
"Q5429417","Sinebrychoff Porter","","Finland",""
"Q10988116","Kelt (beer)","","",""
"Q10999547","Lucifer","","Belgium",""
"Q11883635","Myanmar","","",""
"Q13567751","Amstel Radler","","",""
"Q13648760","Gulpener Dort","","Netherlands",""
"Q14752092","Texels Skuumkoppe","","Netherlands",""
"Q15877488","Koeketiene","","Belgium",""
"Q16545279","Curtius","","",""
"Q18643989","Cerveza Patricia","","",""
"Q19884261","Brand IPA","","Netherlands",""
"Q25415424","Cerveza Pilsen","","",""
"Q25641076","Peltr","","",""
"Q27972948","Laurentina","","",""
"Q55606946","Champion breweries","","",""
"Q59384072","Cornet","","Belgium",""
"Q65684731","Kordaat","","Netherlands",""
"Q115467057","beer Hatuey clásica","","",""
"Q115576141","Grolsch Oud Bruin","","",""
"Q116505299","Old-Union Pale Beer","","",""
"Q117212940","René","","",""
"Q118464510","Trautenberk","","",""
"Q124646000","De Klok","","Netherlands",""
"Q124751199","Regional Pilsen","","",""
"Q125477251","Mosaic Hop","","Netherlands",""
"Q125483971","Hazy Sunrise","","Netherlands",""
"Q127386976","Funky Falcon","","Netherlands",""
"Q128150759","De Gouden Adelaar","","Netherlands",""
"Q129485703","Juice Punch","","",""
"Q130257382","Jopen Hop Zij Met Ons","","Netherlands",""
"Q130272087","Gooisch Zwart","","",""
"Q130279169","De Weldoener Blond","","Netherlands",""
"Q130279545","Meander","","",""
"Q130287324","150 Watt","","",""
"Q130307078","Nightporter","","Netherlands",""
"Q130321377","Jopen North Sea IPA","","Netherlands",""
"Q130321394","Gajes","","Netherlands",""
"Q130324675","Bloedbroeder","","Netherlands",""
"Q130325428","Andreas","","Netherlands",""
"Q130325536","Texels Tuunwal Tripel","","Netherlands",""
"Q130333058","Scheepsbok","","Netherlands",""
"Q130376701","Witte Rook","","Netherlands",""
"Q130382472","Birra Messina Cristalli di Sale","","",""
"Q130383019","Cloud City","","",""
"Q130386068","All Black","","",""
"Q130395707","Mint To Be","","Netherlands",""
"Q130472490","Texels Dubbel","","Netherlands",""
"Q130473142","Little Smuling","","Netherlands",""
"Q130478698","Gooisch Tripel","","",""
"Q130547252","Slurfke","","Belgium",""
"Q130559100","Strandstruner","","",""
"Q130563775","Lambertus Bier","","",""
"Q130709858","Ultra Violet","","",""
"Q130709858","Ultra Violet","","",""
"Q130729723","Dark & Stormy","","",""
"Q131351391","Rumoerige Roodborst","","Netherlands",""
"Q131529469","Bavaria Herfstbok","","Netherlands",""
"Q131531596","Nognietnaar Huismus","","Netherlands",""
