id,name,country
"Q1019155","Bärenquell-Brauerei","Germany"
"Q1019732","Böhmisch Brauhaus Großröhrsdorf","Germany"
"Q1019779","Böhmisches Brauhaus","Germany"
"Q1019921","Börde-Brauerei","Germany"
"Q1020177","Bötzow-Brauerei","Germany"
"Q1021189","Bürgerliches Brauhaus München","Germany"
"Q1031937","Heineken Hungária",""
"Q1041750","Carling","Canada"
"Q1129508","Fix Beer","Greece"
"Q991894","Brauerei G.A. Bruch","Germany"
"Q1134872","Hoegaarden Brewery","Belgium"
"Q1142160","Cruzcampo","Spain"
"Q1143305","Sumol + Compal","Portugal"
"Q1145709","Lindenbrauerei","Germany"
"Q1146548","Sorgendorfer Brauerei","Austria"
"Q1148414","Molson","Canada"
"Q1156773","Dachsbräu","Germany"
"Q1056430","HEINEKEN Mexico","Mexico"
"Q900289","Kopparbergs Brewery","Sweden"
"Q900302","Brauerei Locher","Switzerland"
"Q900395","Brauerei Stadtbühl","Switzerland"
"Q900416","Brauerei Wädenswil","Switzerland"
"Q900271","Brauerei Kesselsdorf","Germany"
"Q900269","Brauerei Kelbra","Germany"
"Q900314","Brasserie Martens","Belgium"
"Q900290","Brewery Kundmüller","Germany"
"Q900295","Brauerei Leikeim","Germany"
"Q900306","Brauerei Lüdde","Germany"
"Q900320","Brauerei Max Leibinger","Germany"
"Q900330","Brauerei Märkl","Germany"
"Q900345","Brauerei Reichenbrand","Germany"
"Q900351","Brauerei Rittmayer","Germany"
"Q900285","Kuchlbauer brewery","Germany"
"Q900387","Brauerei Schwelm","Germany"
"Q900397","Brauerei Spezial","Germany"
"Q900400","Brauerei Weimar-Ehringsdorf","Germany"
"Q900407","Brauerei Westheim","Germany"
"Q900404","Brauerei Wieninger","Germany"
"Q900412","Brauerei Wilhelm Krieger","Germany"
"Q900427","Brauerei zur Malzmühle","Germany"
"Q900425","Brewery „Zum Schlüssel“, Düsseldorf","Germany"
"Q900434","Brauerei Zum Schiffchen, Düsseldorf","Germany"
"Q900343","Rapp Brewery","Germany"
"Q900391","Private Landbrauerei Schönram","Germany"
"Q900437","Kapplerbräu","Germany"
"Q900413","Zassenhaus brewery","Germany"
"Q900500","Brauhaus Pfaffenhofen","Germany"
"Q900504","Brauhaus Sion","Germany"
"Q900510","Brauhaus am Kreuzberg","Germany"
"Q900514","Löwenapotheke am Kornmarkt","Germany"
"Q900506","Riegele","Germany"
"Q900303","Brauerei Liesing","Austria"
"Q900324","Brauerei Murau","Austria"
"Q900335","Brauerei Puntigam","Austria"
"Q900389","Brauerei Schwechat","Austria"
"Q900409","Brauerei Wieselburg","Austria"
"Q900486","Brauhaus Gusswerk","Austria"
"Q900508","Brauhaus der Stadt Wien","Austria"
"Q900469","Braugold","German Democratic Republic"
"Q909817","Dreher Breweries","Hungary"
"Q1164954","Dubuisson Brewery","Belgium"
"Q1165858","Darguner Brauerei","Germany"
"Q1166481","Darmstädter Privatbrauerei","Germany"
"Q1056400","Bucanero Brewery S.A.","Cuba"
"Q1179773","Brewery De Block","Belgium"
"Q948831","Plzeňský Prazdroj","Czech Republic"
"Q1103455","Cluss","Germany"
"Q1083003","Christianssands Bryggeri","Norway"
"Q1109975","Müser-Brauerei","Germany"
"Q911367","BrewDog","United Kingdom"
"Q1103455","Cluss","German Reich"
"Q1000737","Marthabräu","Germany"
"Q1001644","Budweiser Budvar","Czech Republic"
"Q969673","Em Kölsche Boor","Germany"
"Q900366","Brauerei","Germany"
"Q1011070","Globus Cannery","Hungary"
"Q861973","Forst","Italy"
"Q819284","Berg Brauerei","Germany"
"Q876928","Schleppe Brauerei","Austria"
"Q811986","Bavaria – St. Pauli Brewery","German Reich"
"Q877556","Stiegl Brewery","Austria"
"Q878149","König Ludwig Schlossbrauerei","Germany"
"Q821384","Berliner-Kindl-Schultheiss brewery","Germany"
"Q821688","Berliner Pilsner","Germany"
"Q879355","Hoepfner Brewery","Germany"
"Q821688","Berliner Pilsner","German Democratic Republic"
"Q880090","Pinkus Müller","Germany"
"Q880551","Black Sheep Brewery","United Kingdom"
"Q880640","Wernesgrüner","Germany"
"Q880118","Neuzeller Kloster Brewery","German Democratic Republic"
"Q881136","Mallersdorf Abbey","Germany"
"Q881489","Scheyern Abbey","Germany"
"Q883074","Dairy in the New Garden","Germany"
"Q900195","Fuchsbeck brewery","Germany"
"Q891620","Bolten-Brauerei","Germany"
"Q877628","Eichbaum","Germany"
"Q894558","Boston Beer Company","United States"
"Q895475","Dortmunder Hansa","Germany"
"Q821466","Berliner Bürgerbräu","Germany"
"Q896042","Hagen Open-air Museum","Germany"
"Q896511","Bornstedt Crown Estate","Germany"
"Q897711","Brand brewery","Netherlands"
"Q759249","Auerbräu","Germany"
"Q899484","Brasserie d'Achouffe","Belgium"
"Q900101","Brauerei Adler","Switzerland"
"Q900251","Znojemský městský pivovar","Czech Republic"
"Q900178","Felsenau Brewery","Switzerland"
"Q899983","Brauberger brewery","Germany"
"Q900099","Aldersbach brewery","Germany"
"Q900109","Ayinger Brewery","Germany"
"Q900123","Brauerei Becker","Germany"
"Q900128","Brauerei Bosch","Germany"
"Q900137","Brauereigasthof in Leinburg","Germany"
"Q900144","Brauerei Carl Bremme","Germany"
"Q900148","Brauerei Carl Betz","Germany"
"Q900156","Brauerei Clemens Härle","Germany"
"Q900197","Brauerei Fässla","Germany"
"Q900202","Brauerei Gebrüder Jäcklein","Germany"
"Q900215","Brewery Grasser Huppendorf","Germany"
"Q900213","Brauerei Gold Ochsen","Germany"
"Q900226","Brauerei Göller","Germany"
"Q900232","Brauerei Hacklberg","Germany"
"Q900204","Maisel's","Germany"
"Q900019","Braucommune Freistadt","Austria"
"Q900163","Brauerei Egg","Austria"
"Q900242","Brauerei Hofstetten Krammer","Austria"
"Q900255","Brauerei Jos. Baumgartner","Austria"
"Q900193","Brauerei Freital","German Democratic Republic"
"Q762922","Dortmund U-Tower","Germany"
"Q855563","Rochefort","Belgium"
"Q900091","Sünner","Germany"
"Q759249","Auerbräu","German Reich"
"Q773164","Alken-Maes","Belgium"
"Q879110","Dinkelacker","Germany"
"Q900176","Brauerei Faust Miltenberg","Germany"
"Q857829","Timișoara Brewery","Romania"
"Q857934","Biermanufaktur Engel","Germany"
"Q861622","Cervecería Polar","Venezuela"
"Q863650","Binding-Brauerei","Germany"
"Q865840","Birra Moretti","Italy"
"Q865859","Peroni Brewery","Italy"
"Q866161","Bischofshof Regensburg","Germany"
"Q787066","Spaten-Franziskaner-Bräu","Germany"
"Q870325","Würzburger Hofbräu","Germany"
"Q794591","Hook Norton Brewery","United Kingdom"
"Q874166","Spatenbräu","Germany"
"Q698957","Erdinger","Germany"
"Q861679","Balashi","Aruba"
"Q900200","Eck","Germany"
"Q805254","Ballhaus Watzke","Germany"
"Q805734","Baltika Breweries","Russia"
"Q720479","Asahi Breweries","Japan"
"Q694218","Krombacher Brauerei","Germany"
"Q811986","Bavaria – St. Pauli Brewery","Germany"
"Q812294","Bavarian State Brewery Weihenstephan","Germany"
"Q812397","Brewery and Bakery Museum Kulmbach","Germany"
