id,name,type,country,abv
"Q1752831","Roero Arneis","wine","Italy",""
"Q1788110","Kreuz-Neroberger","wine","Germany",""
"Q1886697","Malamatina","wine","",""
"Q2517014","Vermentino di Sardegna","wine","Italy",""
"Q1946117","Montepulciano d'Abruzzo","wine","Italy",""
"Q2410748","Garda","wine","",""
"Q1946096","Monteregio di Massa Marittima","wine","",""
"Q2599921","Ycoden-Daute-Isora","wine","Spain",""
"Q2219387","San Colombano al Lambro (Wine)","wine","Italy",""
"Q2750961","Charbono","wine","Italy",""
"Q1916869","Chianti Rufina","wine","Italy",""
"Q1799803","Lacrima di Morro d'Alba","wine","Italy",""
"Q1800420","Lago di Corbara","wine","Italy",""
"Q1648874","Verdicchio di Matelica","wine","Italy",""
"Q2832668","Alentejo wine","wine","Portugal",""
"Q2893254","Beaune wine","wine","France",""
"Q1632778","Parrina","wine","Italy",""
"Q2894017","Beira Interior DOC","wine","Portugal",""
"Q1684519","Rosso Piceno","wine","Italy",""
"Q1946008","Montecucco","wine","",""
"Q1713941","Verdicchio dei Castelli di Jesi","wine","Italy",""
"Q1973211","Nebbiolo d’Alba","wine","Italy",""
"Q1683915","Velletri","wine","",""
"Q2305328","Lacryma Christi","wine","Italy",""
"Q2831965","Albugnano","wine","Italy",""
"Q1973962","Ripasso","wine","Italy",""
"Q2507933","Valcalepio","wine","Italy",""
"Q1933708","Soave","wine","Italy",""
"Q1699127","Rosso Cònero","wine","Italy",""
"Q1789031","Sovetskoye Shampanskoye","wine","Poland",""
"Q1789031","Sovetskoye Shampanskoye","wine","Soviet Union",""
"Q2836483","Alicante","wine","Spain",""
"Q616","Beaujolais wine","wine","France",""
"Q27697","Madeira wine","wine","Portugal",""
"Q537841","Cortese di Gavi frizzante","wine","Italy","10.5"
"Q21030926","Monkey Shoulder","whisky","","40"
"Q4883072","Bell's whisky","whisky","",""
"Q433586","Alta Langa (DOC)","wine","Italy",""
"Q387806","Carso DOC","wine","Italy",""
"Q499804","Vermentino di Gallura","wine","Italy",""
"Q440627","Freisa d’Asti","wine","Italy",""
"Q378001","Breganze Vespaiolo superiore","wine","Italy",""
"Q378069","Colli Orientali del Friuli Pinot Nero riserva","wine","Italy",""
"Q693841","Erbaluce di Caluso","wine","Italy","11"
"Q693841","Erbaluce di Caluso","wine","Italy","13"
"Q55385688","Greenore","whisky","",""
"Q257142","Dolcetto d'Acqui","wine","Italy",""
"Q368172","Delia Nivolelli","wine","Italy",""
"Q467794","Piedirosso","wine","Italy",""
"Q10523938","Highland queen","whisky","",""
"Q12307077","Dalwhinnie single malt whisky","whisky","",""
"Q31193096","Ankara","whisky","",""
"Q289219","Aleatico di Gradoli","wine","Italy",""
"Q443118","Friuli-Venezia Giulia wine","wine","Italy",""
"Q5603215","Green Spot","whisky","",""
"Q454914","Malvasia di Castelnuovo Don Bosco","wine","Italy",""
"Q390622","Carema","wine","Italy",""
"Q594168","Gattinara DOCG","wine","Italy",""
"Q455032","Malvasia di Casorzo d'Asti","wine","Italy",""
"Q126218","Bianco di Custoza","wine","Italy",""
"Q457894","Fiano di Avellino","wine","Italy",""
"Q457946","Frascati DOC","wine","Italy",""
"Q390626","Bramaterra","wine","Italy",""
"Q390630","Brachetto d'Acqui","wine","Italy",""
"Q390619","Cortese dell'Alto Monferrato","wine","Italy",""
"Q316871","Rotspon","wine","",""
"Q455219","Amarone della Valpolicella","wine","Italy",""
"Q430761","Barbera del Monferrato","wine","Italy",""
"Q390634","Rossese di Dolceacqua","wine","Italy","12"
"Q390634","Rossese di Dolceacqua","wine","Italy","13"
"Q5451712","Fireball Cinnamon Whisky","whisky","",""
"Q426290","Colli Orientali del Friuli Pinot Grigio riserva","wine","Italy",""
"Q25993","Rosso di Montalcino","wine","Italy",""
"Q287877","Friuli Isonzo Moscato giallo spumante","wine","Italy",""
"Q693650","Fendant","wine","",""
"Q541959","Vino Nobile di Montepulciano","wine","Italy","12.5"
"Q55385755","Connemara","whisky","",""
"Q50087292","The Irishman","whisky","Ireland",""
"Q283191","Friuli Grave Pinot Nero","wine","Italy",""
"Q144990","Erbaluce di Caluso Passito","wine","Italy",""
"Q338771","Aglianico del Vulture","wine","Italy",""
"Q502082","Trebbiano d'Abruzzo","wine","Italy",""
"Q55377972","The Irishman Founder’s Reserve","whisky","",""
"Q631966","Vernaccia di Oristano","wine","Italy",""
"Q55378860","Yellow Spot Whiskey","whisky","",""
"Q55385779","2 Gingers","whisky","",""
"Q48206059","Writer's Tears","whisky","Ireland",""
"Q427365","Colli Orientali del Friuli Ribolla Gialla","wine","Italy",""
"Q735114","Girò","wine","Italy",""
"Q610387","Ruchè di Castagnole Monferrato","wine","Italy",""
"Q48799234","Virginia Black Whiskey","whisky","",""
"Q453756","Dolcetto di Dogliani","wine","Italy",""
"Q1446649","Saperavi","wine","",""
"Q1421577","Ghemme DOCG","wine","Italy",""
"Q912059","Carmignano DOCG","wine","Italy","12.5"
"Q1054633","Cerasuolo di Vittoria","wine","Italy",""
"Q1423822","Albana di Romagna","wine","Italy",""
"Q1109395","Colli di Luni","wine","Italy",""
"Q1142517","Crépy AOC","wine","France",""
"Q1394013","Falerio dei Colli Ascolani","wine","Italy",""
"Q952716","León (DO)","wine","Spain",""
"Q1109645","Colline Lucchesi","wine","Italy",""
"Q1109662","Colline Novaresi","wine","Italy",""
"Q1531263","glacier wine","wine","Switzerland",""
"Q1507028","Alella","wine","Spain",""
"Q1427324","Clairet","wine","France",""
"Q924164","Conditum","wine","Ancient Rome",""
"Q1310859","Retsina","wine","",""
"Q1090667","Château Pétrus","wine","France",""
"Q748202","Colli Orientali del Friuli","wine","Italy",""
"Q1434993","Malaga","wine","Spain",""
"Q1398382","Faugères AOC","wine","France",""
"Q1368986","Est! Est!! Est!!! di Montefiascone","wine","Italy",""
"Q910343","Ramandolo","wine","Italy",""
"Q1285128","Alcamo wine","wine","Italy",""
"Q1474221","Lambrusco di Sorbara","wine","Italy",""
"Q1235386","Dolcetto d’Alba","wine","Italy",""
"Q1032955","Candia dei Colli Apuani","wine","Italy",""
"Q921560","Jurançon AOC","wine","France",""
"Q1523062","Sciacchetrà","wine","Italy",""
"Q1396077","Fara","wine","Italy",""
"Q1469296","Friuli Grave","wine","Italy",""
"Q1401752","Vernaccia di San Gimignano","wine","Italy",""
"Q1269612","Dão DOC","wine","Portugal",""
"Q807803","Barbera d’Alba","wine","Italy",""
"Q874080","Uhudler","wine","",""
"Q784469","Rubino di Cantavenna","wine","Italy",""
"Q1056603","Cesanese del Piglio","wine","Italy",""
"Q1394022","Falerno del Massico","wine","Italy","13.5"
"Q1394022","Falerno del Massico","wine","Italy","14.5"
"Q808039","Bardolino DOC","wine","Italy",""
"Q883138","Hock","wine","",""
"Q1340136","Moscato di Sorso-Sennori","wine","Italy",""
"Q1303349","Mulsum","wine","",""
"Q926371","Morellino di Scansano","wine","Italy",""
