id,name,type,country
"Q2983234","Friuli Colli Orientali Riesling Renano","",""
"Q2983422","Colline Novaresi Nebbiolo","",""
"Q2983426","Colline Novaresi Vespolina","",""
"Q2983148","Colli Euganei Fior d'Arancio","","Italy"
"Q2983201","Colli Orientali del Friuli Merlot","",""
"Q2995480","County Cricket Sclafani","",""
"Q2995511","Contea di Sclafani rosso riserva","",""
"Q2995597","Contessa Entellina","",""
"Q2995613","Contessa Entellina bianco","",""
"Q2995620","Contessa Entellina rosso","",""
"Q3021612","Delia Nivolelli Grillo","",""
"Q1933708","Soave","",""
"Q1946008","Montecucco","",""
"Q1946096","Monteregio di Massa Marittima","",""
"Q1946117","Montepulciano d'Abruzzo","",""
"Q1973211","Nebbiolo d’Alba","","Italy"
"Q1973962","Ripasso","","Italy"
"Q2219387","San Colombano al Lambro (Wine)","",""
"Q2305328","Lacryma Christi","","Naples"
"Q2410748","Garda","",""
"Q2507933","Valcalepio","",""
"Q2517014","Vermentino di Sardegna","",""
"Q2599921","Ycoden-Daute-Isora","",""
"Q2750961","Charbono","",""
"Q2831965","Albugnano","",""
"Q2832668","Alentejo wine","",""
"Q2836483","Alicante","",""
"Q2893254","Beaune wine","",""
"Q2894017","Beira Interior DOC","",""
"Q2925580","Brindisi Rosso","",""
"Q2946359","Cerasuolo d'Abruzzo","","Italy"
"Q2967951","Château Mont-Pérat","",""
"Q3683272","Colline di Levanto DOC","",""
"Q3688856","Contessa Entellina Catarratto","",""
"Q3721167","Elba DOC","",""
"Q3731569","Erice DOC","",""
"Q3731574","Erice Catarratto","",""
"Q616","Beaujolais wine","","France"
"Q25993","Rosso di Montalcino","",""
"Q27697","Madeira wine","","Madeira"
"Q126218","Bianco di Custoza","",""
"Q144990","Erbaluce di Caluso Passito","",""
"Q257142","Dolcetto d'Acqui","","Italy"
"Q283191","Friuli Grave Pinot Nero","",""
"Q287877","Friuli Isonzo Moscato giallo spumante","",""
"Q289219","Aleatico di Gradoli","",""
"Q316871","Rotspon","",""
